"lsoa01","access01","access11","access01_exp","access11_exp"
"E01003360",2564919,3018976,16356.8941249034,19914.0473038488
"E01003361",2192569,2522748,10578.3606416226,12072.5961700949
"E01003362",2145550,2467501,9367.4458492833,10695.0728360693
"E01003363",1806703,2082705,8897.47928464667,10186.9204374589
"E01003364",1750252,2000645,8268.54936115956,9543.61980783818
"E01003365",2148616,2470976,10047.3160526481,11400.057582417
"E01003366",2213955,2550807,10505.3648322069,11938.2984295825
"E01003367",2595867,3056651.96,15697.2944745658,19204.718076202
"E01003368",2591698,3055369,13954.3121472909,17072.8861944271
"E01003369",2630479,3104984.96,17057.5041728846,21057.5438102803
"E01003370",2628987,3100765.61,16695.3922751188,20506.0850860526
"E01003371",2619576,3088975,15930.3148664327,19604.7305935464
"E01003372",2614623,3083009,14541.7116843161,17948.8893692895
"E01003373",2363477,2728256,11766.5521254019,13140.0008256342
"E01003374",2347238,2719935,11518.1006548395,12402.0406828359
"E01003375",2276366,2629292.68,11581.4953949055,11928.9784195747
"E01003376",2451563,2852723,12529.9221463823,14459.6330211497
"E01003377",2381617,2749321,12034.5189532434,13713.1368975408
"E01003378",2416077,2813536,12060.8819651195,13316.3693152435
"E01003379",2459302,2893523.96,11914.7255910341,12963.9510195584
"E01003380",2333954,2687315.65,11827.399894856,13574.6625301925
"E01003381",2210297,2546999,10107.2103264546,11332.3850084084
"E01003382",2256432,2602078,10846.8129701022,12302.0569073888
"E01003383",2502912,2897820.81,16461.687828856,19288.955297815
"E01003384",2475339,2868533,16067.6980749066,18794.8042976105
"E01003385",2434510,2804738,13989.8568128521,16249.1983364309
"E01003386",2509284,2957340,10818.4839881884,12614.0203472734
"E01003387",2460149,2895966.97,10122.1507292395,11437.1209915546
"E01003388",2494205,2936445.97,11167.9194711567,12721.8583082947
"E01003389",2441984,2873071,10979.427321672,12082.925909205
"E01003390",2495502,2935442,11709.4420307397,13260.5516994658
"E01003391",2477773,2919003,9584.71068429522,11034.4420062749
"E01003392",2545262,2999397,11467.2437951489,13739.4908282027
"E01003393",2596510,3062724,13237.554795428,16403.1158141621
"E01003394",2576895,3036813,12079.2629843416,14845.7829871037
"E01003395",2550668,3006665,10946.9286269329,13185.5011432292
"E01003396",2620894,3092370,13204.8816134173,16545.921850275
"E01003397",2599972,3067924,12129.5727684753,15159.7538264407
"E01003398",2572151,3035795,11106.8851615158,13710.3156672318
"E01003399",2355633,2718282,11528.356931291,13223.0203594022
"E01003400",2600130,3032378.81,15589.0471665365,18759.3528884083
"E01003401",2564876,2969008.81,15344.419081088,18500.5597790151
"E01003402",2538637,2939332,15500.9957675655,18095.3569712813
"E01003403",2483167,2869780,13504.2636513496,15683.3787956549
"E01003404",2444085,2818373,12521.5526256956,14482.1284782399
"E01003405",2501866,2943018.96,12478.7721207675,14291.1553767568
"E01003406",2559034,3011683.96,13711.6485725447,16517.7461508907
"E01003407",2528682,2974314,13516.1861379023,16030.9896210072
"E01003408",2523228,2964710,13732.5660425901,16228.9717169159
"E01003409",2541558,2991493,12428.1375705646,14712.7367140688
"E01003410",2502285,2943536,12844.2289277717,14882.6820397899
"E01003411",2517917,2969015,9679.67919005736,11595.1314718754
"E01003412",2526343,2978323,10153.192833553,12113.0951054573
"E01003413",2506005,2955971,9351.79322322662,11153.6484469418
"E01003414",2470602,2908222,9173.87412421633,10573.9643611954
"E01003415",2467466,2905262,9058.58721396693,10415.3852299067
"E01003416",2427936,2856318.97,8917.89342452713,9943.15300372314
"E01003417",1409197,1627839,8480.02038248503,9752.65486945941
"E01003418",1337974,1541151.94,8248.86336644082,9491.22914286993
"E01003419",1363468,1567296,7939.15253348335,9310.06516487079
"E01003420",1280087,1465327.2,8533.4960883984,9633.89490681454
"E01003421",1585488,1822323,7885.29022518798,9170.81577424819
"E01003422",1513433,1743934,8065.98842130224,9373.88286251283
"E01003423",2353015,2706741,12289.2330959944,14147.8279761701
"E01003424",2376932,2733377,13233.7185093286,15204.9982217178
"E01003425",2273470,2614410.81,11612.4912797635,13258.2070014932
"E01003426",2335881,2678011,12055.9823588914,13755.6321855538
"E01003427",2179079,2502738,11407.3904634238,12789.9141294172
"E01003428",2415312,2783397.81,13748.2549936075,15847.9493959578
"E01003429",2366649,2776677,9182.34262121457,9744.6493067141
"E01003430",2396152,2818644.97,9885.17226366028,10563.9383701871
"E01003431",2353242,2760532,10416.082734548,10724.7773401242
"E01003432",2350919,2757516,9856.95622270096,10200.8412838139
"E01003433",2416743,2844253.97,9198.10489593035,10095.5952371043
"E01003434",2412164,2837371,8880.33985410147,9704.4579032782
"E01003435",2416160,2843133,9046.90280762591,9906.79806082837
"E01003436",2084561,2390690,9772.97670279634,11112.4229077727
"E01003437",2129832,2442377,10054.7328203713,11296.2074224838
