"TTWA11NM","total.pop","n.bua","rci01","rci11","rcidiff","rci01_main","rci11_main","rcidiff_main","work01","work01_sq","work11","work11_sq","workdiff","workdiff_sq","geo04","geo10","geodiff","type"
"Bradford",488469,3,0.290639406993691,0.216118088004706,-0.0745213189889853,0.295743831066972,0.221521907057891,-0.0742219240090805,0.156271202765751,0.143306514539503,0.119307754918069,0.105722854713136,-0.0369634478476826,-0.0375836598263675,0.238138025230612,0.147513769187213,-0.0906242560433981,"inc"
"Stoke-on-Trent",486556,5,0.165150307072267,0.153840305700612,-0.0113100013716547,0.194714001353233,0.181930877116656,-0.0127831242365772,0.136307531632355,0.0538144108497391,0.127917416130614,0.0469811626703205,-0.00839011550174007,-0.00683324817941866,0.260125568766682,0.213228146748293,-0.0468974220183895,"inc"
"Hull",468806,4,0.242774613642084,0.234805165801205,-0.00796944784087827,0.235915421295914,0.229393201951709,-0.00652221934420538,0.206773440429743,-0.0203709258424993,0.206985100033748,-0.0585501556003436,0.000211659604005376,-0.0381792297578443,0.232019006591656,0.19682312000738,-0.0351958865842761,"inc"
"Middlesbrough and Stockton",442403,2,0.233255354240981,0.207019500390473,-0.0262358538505083,0.25196407885268,0.231026237806049,-0.0209378410466314,0.168116621821397,0.166748006355505,0.131631300436752,0.138385876148746,-0.0364853213846459,-0.0283621302067587,0.232900671334164,0.261224355867299,0.0283236845331345,"inc"
"Chelmsford",434334,7,-0.0523519327782367,-0.0326284942226778,0.0197234385555589,-0.0333063717697684,-0.0162895628987059,0.0170168088710625,-0.0793540033671292,-0.0620913970116135,-0.0647857305174284,-0.0552573250975286,0.0145682728497007,0.00683407191408492,0.117839564438754,0.112572741496734,-0.00526682294201919,"inc"
"Norwich",420377,2,0.158261287131495,0.128934293918945,-0.0293269932125497,0.158143369354448,0.128831276186645,-0.0293120931678033,0.100843844425953,0.0612860292166602,0.102564030230653,0.0432558155164742,0.00172018580470024,-0.018030213700186,0.178428978403531,0.173125872629797,-0.00530310577373427,"inc"
"Derby",392072,5,0.318454113482076,0.267258257340515,-0.0511958561415611,0.320019774817695,0.269304663654992,-0.0507151111627024,0.102477132665413,0.180275415859271,0.0820168692867327,0.136243507634632,-0.0204602633786806,-0.044031908224639,0.353675883524119,0.292089118472774,-0.0615867650513451,"inc"
"Preston",380329,6,0.179650976628963,0.130111754544416,-0.0495392220845474,0.196411728583428,0.142077869191056,-0.0543338593923721,0.0704628804376171,0.0797751428269464,0.0605970502322322,0.0505829906673512,-0.0098658302053849,-0.0291921521595953,0.303268542584036,0.218127827590408,-0.0851407149936279,"inc"
"Exeter",379131,3,0.0463851001618281,0.00926130442876172,-0.0371237957330663,0.0245682209363451,-0.0202767450697792,-0.0448449660061243,0.0307823349476166,0.0502609443188788,-0.00771609209817825,0.0322643516445567,-0.0384984270457949,-0.0179965926743222,0.180543214754934,0.152928109480484,-0.0276151052744495,"inc"
"High Wycombe and Aylesbury",366185.64,6,0.231617442144099,0.192737874127957,-0.0388795680161422,0.0783922556439762,0.0290046089024969,-0.0493876467414793,-0.064372402747864,0.0312720254284784,-0.0838802990469958,0.0236094763677812,-0.0195078962991317,-0.00766254906069719,0.247453171190443,0.171155424328219,-0.0762977468622239,"inc"
"Swansea",361132,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inc"
"Sunderland",356093,4,-0.00499362652345781,-0.0204999151706176,-0.0155062886471597,0.0463387138274243,0.0237408433771833,-0.022597870450241,-0.0200945017832908,-0.0137981463116716,-0.0339451466217042,-0.00938449010281772,-0.0138506448384135,0.00441365620885392,0.171993347427332,0.152675552570656,-0.0193177948566756,"inc"
"Huddersfield",342774,4,0.280930390685185,0.232768139469357,-0.0481622512158282,0.0353722699781684,0.0330808050945706,-0.00229146488359788,0.156571409111763,0.0832542160105589,0.148243343555436,0.034199394654749,-0.00832806555632715,-0.04905482135581,0.221602136864078,0.148546236232448,-0.0730559006316298,"inc"
