"TTWA11NM","lsoa01","weight"
"Bradford","E01010863",1
"Bradford","E01010864",1
"Bradford","E01010865",1
"Bradford","E01010866",1
"Bradford","E01010867",1
"Bradford","E01010868",1
"Bradford","E01010869",1
"Bradford","E01010870",1
"Bradford","E01010871",1
"Bradford","E01010872",1
"Bradford","E01010873",1
"Bradford","E01010874",1
"Bradford","E01011051",1
"Bradford","E01011055",1
"Bradford","E01011056",1
"Bradford","E01011057",1
"Bradford","E01011058",1
"Bradford","E01011060",1
"Bradford","E01011061",1
"Bradford","E01011062",1
"Bradford","E01011063",1
"Bradford","E01011064",1
"Bradford","E01011065",1
"Bradford","E01011066",1
"Bradford","E01011067",1
"Bradford","E01011068",1
"Bradford","E01011069",1
"Bradford","E01011241",1
"Bradford","E01011242",1
"Bradford","E01011243",1
"Bradford","E01011244",1
"Bradford","E01011245",1
"Bradford","E01011247",1
"Bradford","E01011249",1
"Bradford","E01011251",1
"Halifax","E01010875",1
"Halifax","E01010876",1
"Halifax","E01010877",1
"Halifax","E01010878",1
"Halifax","E01010879",1
"Halifax","E01010880",1
"Halifax","E01010881",1
"Halifax","E01010882",1
"Halifax","E01010883",1
"Halifax","E01010884",1
"Halifax","E01010885",1
"Halifax","E01010886",1
"Halifax","E01010887",1
"Halifax","E01010888",1
"Halifax","E01010889",1
"Halifax","E01010890",1
"Halifax","E01010891",1
"Halifax","E01010892",1
"Halifax","E01010893",1
"Halifax","E01010894",1
"Halifax","E01010895",1
"Halifax","E01010896",1
"Halifax","E01010897",1
"Halifax","E01010898",1
"Halifax","E01010899",1
"Halifax","E01010900",1
"Halifax","E01010901",1
"Halifax","E01010902",1
"Halifax","E01010903",1
"Halifax","E01010904",1
"Halifax","E01010905",1
"Halifax","E01010906",1
"Halifax","E01010907",1
"Halifax","E01010908",1
"Halifax","E01010909",1
"Halifax","E01010910",1
"Halifax","E01010911",1
"Halifax","E01010912",1
"Halifax","E01010913",1
"Halifax","E01010914",1
"Halifax","E01010915",1
"Halifax","E01010916",1
"Halifax","E01010917",1
"Halifax","E01010918",1
"Halifax","E01010919",1
"Halifax","E01010920",1
"Halifax","E01010921",1
"Halifax","E01010922",1
"Halifax","E01010923",1
"Halifax","E01010924",1
"Halifax","E01010925",1
"Halifax","E01010926",1
"Halifax","E01010927",1
"Halifax","E01010928",1
"Halifax","E01010929",1
"Halifax","E01010930",1
"Halifax","E01010931",1
"Halifax","E01010932",1
"Halifax","E01010933",1
"Halifax","E01010934",1
"Halifax","E01010935",1
"Halifax","E01010936",1
"Halifax","E01010937",1
"Halifax","E01010938",1
"Halifax","E01010939",1
"Halifax","E01010940",1
"Halifax","E01010941",1
"Halifax","E01010942",1
"Halifax","E01010943",1
"Halifax","E01010944",1
"Halifax","E01010945",1
"Halifax","E01010946",1
"Halifax","E01010947",1
"Halifax","E01010948",1
"Halifax","E01010949",1
"Halifax","E01010950",1
"Halifax","E01010951",1
"Halifax","E01010952",1
"Halifax","E01010953",1
"Halifax","E01010954",1
"Halifax","E01010955",1
"Halifax","E01010956",1
"Halifax","E01010957",1
"Halifax","E01010958",1
"Halifax","E01010959",1
"Halifax","E01010960",1
"Halifax","E01010961",1
"Halifax","E01010962",1
"Halifax","E01010963",1
"Halifax","E01010964",1
"Halifax","E01010965",1
"Halifax","E01010966",1
"Halifax","E01010967",1
"Halifax","E01010968",1
"Halifax","E01010969",1
"Halifax","E01010970",1
"Halifax","E01010971",1
"Halifax","E01010972",1
"Halifax","E01010973",1
"Halifax","E01010974",1
"Halifax","E01010975",1
"Halifax","E01010976",1
"Halifax","E01010977",1
"Halifax","E01010978",1
"Halifax","E01010979",1
"Halifax","E01010980",1
"Halifax","E01010981",1
"Halifax","E01010982",1
"Halifax","E01010983",1
"Halifax","E01010984",1
"Halifax","E01010985",1
"Halifax","E01010986",1
"Halifax","E01010987",1
"Halifax","E01010988",1
"Halifax","E01010989",1
"Halifax","E01010990",1
"Halifax","E01010991",1
"Halifax","E01010992",1
"Halifax","E01010993",1
"Halifax","E01010994",1
"Halifax","E01010995",1
"Halifax","E01010996",1
"Halifax","E01010997",1
"Halifax","E01010998",1
"Halifax","E01010999",1
"Halifax","E01011000",1
"Halifax","E01011001",1
"Halifax","E01011002",1
"Halifax","E01011003",1
"Skipton","E01027555",1
"Skipton","E01027556",1
"Skipton","E01027557",1
"Skipton","E01027558",1
"Skipton","E01027559",1
"Skipton","E01027560",1
"Skipton","E01027561",1
"Skipton","E01027562",1
"Skipton","E01027563",1
"Skipton","E01027564",1
"Skipton","E01027565",1
"Skipton","E01027566",1
"Skipton","E01027567",1
"Skipton","E01027568",1
"Skipton","E01027569",1
"Skipton","E01027570",1
"Skipton","E01027571",1
"Skipton","E01027572",1
"Skipton","E01027573",1
"Skipton","E01027574",1
"Skipton","E01027575",1
"Skipton","E01027576",1
"Skipton","E01027577",1
"Skipton","E01027578",1
"Skipton","E01027579",1
"Skipton","E01027580",1
"Skipton","E01027581",1
"Skipton","E01027582",1
"Skipton","E01027583",1
"Skipton","E01027584",1
"Skipton","E01027585",1
"Skipton","E01027586",1
"Dorchester and Weymouth","E01020489",1
"Dorchester and Weymouth","E01020490",1
"Dorchester and Weymouth","E01020491",1
"Dorchester and Weymouth","E01020492",1
"Dorchester and Weymouth","E01020493",1
"Dorchester and Weymouth","E01020505",1
"Dorchester and Weymouth","E01020509",1
"Dorchester and Weymouth","E01020510",1
"Dorchester and Weymouth","E01020512",1
"Dorchester and Weymouth","E01020513",1
"Dorchester and Weymouth","E01020514",1
"Dorchester and Weymouth","E01020515",1
"Dorchester and Weymouth","E01020516",1
"Dorchester and Weymouth","E01020518",1
"Dorchester and Weymouth","E01020519",1
"Dorchester and Weymouth","E01020520",1
"Dorchester and Weymouth","E01020521",1
"Dorchester and Weymouth","E01020522",1
"Dorchester and Weymouth","E01020523",1
"Dorchester and Weymouth","E01020524",1
"Dorchester and Weymouth","E01020525",1
"Dorchester and Weymouth","E01020526",1
"Dorchester and Weymouth","E01020527",1
"Dorchester and Weymouth","E01020528",1
"Dorchester and Weymouth","E01020529",1
"Dorchester and Weymouth","E01020534",1
"Dorchester and Weymouth","E01020537",1
"Dorchester and Weymouth","E01020538",1
"Dorchester and Weymouth","E01020539",1
"Dorchester and Weymouth","E01020540",1
"Dorchester and Weymouth","E01020549",1
"Dorchester and Weymouth","E01020551",1
"Dorchester and Weymouth","E01020552",1
"Dorchester and Weymouth","E01020553",1
"Dorchester and Weymouth","E01020554",1
"Dorchester and Weymouth","E01020555",1
"Dorchester and Weymouth","E01020556",1
"Dorchester and Weymouth","E01020557",1
"Dorchester and Weymouth","E01020558",1
"Dorchester and Weymouth","E01020559",1
"Dorchester and Weymouth","E01020560",1
"Dorchester and Weymouth","E01020561",1
"Dorchester and Weymouth","E01020562",1
"Dorchester and Weymouth","E01020563",1
"Dorchester and Weymouth","E01020564",1
"Dorchester and Weymouth","E01020565",1
"Dorchester and Weymouth","E01020566",1
"Dorchester and Weymouth","E01020567",1
"Dorchester and Weymouth","E01020568",1
"Dorchester and Weymouth","E01020569",1
"Dorchester and Weymouth","E01020570",1
"Dorchester and Weymouth","E01020571",1
