"fua","total.pop","n.bua","rci01","rci11","rcidiff","rci01_main","rci11_main","rcidiff_main","work01","work01_exp","work11","work11_exp","workdiff","workdiff_exp","geo04","geo10","geodiff","type"
"Hastings",180842,2,0.294267095483164,0.305739209995068,0.0114721145119034,0.295215655897316,0.306573504852572,0.0113578489552566,-0.163779165751315,0.31498844145888,-0.0964030767323436,0.29050238867616,0.0673760890189712,-0.02448605278272,0.320189850903319,0.327878502494528,0.00768865159120935,"jsa"
"Burnley",176511,1,0.0356732145697904,0.157844801340687,0.122171586770897,0.0356732145697904,0.157844801340687,0.122171586770897,-0.0143532017039263,0.152884049282086,0.0990085091651807,0.217764660127877,0.113361710869107,0.0648806108457904,0.17049170953392,0.203756731179034,0.0332650216451142,"jsa"
"Worcester",173399,3,0.188133930149682,0.191351225086862,0.00321729493717982,0.188496050113251,0.191749208402484,0.00325315828923323,0.106253527126434,0.225387748848611,0.1282691507217,0.237915080965401,0.0220156235952658,0.0125273321167896,0.223381658883149,0.286104325056748,0.0627226661735989,"jsa"
"London",11553532,56,0.14704342432924,0.0917860714171184,-0.0552573529121219,0.21235027628245,0.137095525565655,-0.0752547507167947,0.228181724139176,0.248164509603612,0.14485610661859,0.163260723653366,-0.0833256175205861,-0.0849037859502459,0.212398611855406,0.145705025682673,-0.0666935861727325,"inc"
"Greater Manchester",3211529,17,0.163673797916317,0.129843849603162,-0.033829948313155,0.198487080135692,0.131725409158776,-0.0667616709769163,0.193233552864513,0.256898163345681,0.128833382341099,0.186507961528605,-0.0644001705234132,-0.0703902018170766,0.18270682835464,0.169482186425057,-0.0132246419295825,"inc"
"West Midlands urban area",2958186.7,16,0.107292881362355,0.0703800903568208,-0.036912791005534,0.209383679535335,0.148408943964228,-0.0609747355711079,0.203563474537077,0.277255173142294,0.158137554302698,0.216614847654341,-0.0454259202343792,-0.0606403254879524,0.244230009193643,0.191075351876179,-0.0531546573174637,"inc"
"Leeds",2522785,13,0.217725177275838,0.177484471953562,-0.040240705322276,0.105002470504246,0.102185497725145,-0.00281697277910098,0.146282690839485,0.272227273729413,0.143715331252452,0.233657534783561,-0.00256735958703302,-0.0385697389458528,0.242298722176884,0.200651834532437,-0.0416468876444469,"inc"
"Liverpool",1491874,11,0.121815523269788,0.10195378730441,-0.0198617359653781,0.232194806062921,0.159131344951334,-0.0730634611115875,0.16945995281219,0.273525340813705,0.131385607674702,0.211767897240748,-0.0380743451374883,-0.061757443572958,0.148256391864493,0.113985853667259,-0.0342705381972337,"inc"
"Tyneside conurbation",1145347,7,0.178044812603957,0.11134744690429,-0.0666973656996674,0.16441105061142,0.0924382433283881,-0.0719728072830321,0.192363792950403,0.196909543979871,0.143717940687395,0.12631979675615,-0.0486458522630073,-0.0705897472237211,0.173305281142689,0.142672181907926,-0.0306330992347625,"inc"
"Sheffield",1140222,6,0.130887631774897,0.0865033277777343,-0.0443843039971625,0.0473605937148136,0.00536603538373015,-0.0419945583310835,0.0823824759208662,0.135747257650394,0.0905113735033751,0.0836392405425386,0.0081288975825089,-0.0521080171078552,0.14822936459268,0.109698044700622,-0.0385313198920585,"inc"
"Bristol",893567,3,0.207879797502471,0.163114062103489,-0.0447657353989825,0.152112442528761,0.0801601441351352,-0.0719522983936258,0.0794680869106799,0.186165070456667,0.0583912384958296,0.101592862377004,-0.0210768484148502,-0.0845722080796634,0.188467326221087,0.161020305972471,-0.0274470202486157,"inc"
"Cardiff",885642,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inc"
