"","lsoa01cd","fua"
"715","E01003715","London"
"716","E01003716","London"
"717","E01003717","London"
"718","E01003718","London"
"719","E01003719","London"
"720","E01003720","London"
"721","E01003721","London"
"722","E01003722","London"
"723","E01003723","London"
"724","E01003724","London"
"725","E01003725","London"
"726","E01003726","London"
"727","E01003727","London"
"728","E01003728","London"
"729","E01003729","London"
"730","E01003730","London"
"731","E01003731","London"
"732","E01003732","London"
"733","E01003733","London"
"734","E01003734","London"
"735","E01003735","London"
"736","E01003736","London"
"737","E01003737","London"
"738","E01003738","London"
"739","E01003739","London"
"740","E01003740","London"
"741","E01003741","London"
"742","E01003742","London"
"743","E01003743","London"
"744","E01003744","London"
"745","E01003745","London"
"746","E01003746","London"
"747","E01003747","London"
"748","E01003748","London"
"749","E01003749","London"
"750","E01003750","London"
"751","E01003751","London"
"752","E01003752","London"
"753","E01003753","London"
"754","E01003754","London"
"755","E01003755","London"
"756","E01003756","London"
"757","E01003757","London"
"758","E01003758","London"
"759","E01003759","London"
"760","E01003760","London"
"761","E01003761","London"
"762","E01003762","London"
"763","E01003763","London"
"764","E01003764","London"
"765","E01003765","London"
"766","E01003766","London"
"767","E01003767","London"
"768","E01003768","London"
"769","E01003769","London"
"770","E01003770","London"
"771","E01003771","London"
"772","E01003772","London"
"773","E01003773","London"
"774","E01003774","London"
"775","E01003775","London"
"776","E01003776","London"
"777","E01003777","London"
"778","E01003778","London"
"779","E01003779","London"
"780","E01003780","London"
"781","E01003781","London"
"782","E01003782","London"
"783","E01003783","London"
"784","E01003784","London"
"785","E01003785","London"
"786","E01003786","London"
"787","E01003787","London"
"788","E01003788","London"
"789","E01003789","London"
"790","E01003790","London"
"791","E01003791","London"
"792","E01003792","London"
"793","E01003793","London"
"794","E01003794","London"
"795","E01003795","London"
"796","E01003796","London"
"797","E01003797","London"
"798","E01003798","London"
"799","E01003799","London"
"800","E01003800","London"
"801","E01003801","London"
"802","E01003802","London"
"803","E01003803","London"
"804","E01003804","London"
"805","E01003805","London"
"806","E01003806","London"
"807","E01003807","London"
"808","E01003808","London"
"809","E01003809","London"
"810","E01003810","London"
"811","E01003811","London"
"812","E01003812","London"
"813","E01003813","London"
"814","E01003814","London"
"815","E01003815","London"
"816","E01003816","London"
"817","E01003817","London"
"818","E01003818","London"
"819","E01003819","London"
"820","E01003820","London"
"821","E01003821","London"
"822","E01003822","London"
"823","E01003823","London"
"824","E01003824","London"
"825","E01003825","London"
"826","E01003826","London"
