"","name","pweight_x","pweight_y","pop11","number_lsoa","type","imputed_easting","imputed_northing","imputed_type","imputed_error","imputed_osmnm","imputed_osmm"
"1043","Ovingham BUASD",408675.392257963,563982.959742989,1222,1,"buasd",408675.392257963,563982.959742989,"Origin",NA,NA,"Abertillery"
"1044","Oxford BUASD",452809.740075889,205896.722065989,155137,85,"buasd",451327.960664943,206184.829628476,"city",1509.52846619879,NA,"Oxford"
"1045","Paignton BUASD",288686.97213989,61502.4889817438,63506,44,"buasd",289080.983995558,60929.4828267188,"town",695.400169760939,NA,"Paignton"
"1046","Parbold BUASD",349189.425373474,410739.155717067,2637,2,"buasd",349189.425373474,410739.155717067,"Origin",NA,NA,"Abertillery"
"1047","Park Street BUASD",515096.318552082,203500.421786209,1852,1,"buasd",515096.318552082,203500.421786209,"Origin",NA,NA,"Abertillery"
"1048","Partington BUASD",371476.58083941,391206.626779148,8395,5,"buasd",371751.879353646,391393.681372009,"townhall",332.834332139768,NA,"Partington Town Council"
"1049","Parton BUASD",298123.121576142,520622.29482385,1362,1,"buasd",298123.121576142,520622.29482385,"Origin",NA,NA,"Abertillery"
"1050","Partridge Green BUASD",519142.393275301,119309.671506895,2719,2,"buasd",519142.393275301,119309.671506895,"Origin",NA,NA,"Abertillery"
"1051","Paulton BUASD",365157.948870154,156365.902238172,5302,3,"buasd",365157.948870154,156365.902238172,"Origin",NA,NA,"Abertillery"
"1052","Pelton BUASD",425134.507791217,553171.470600226,5278,3,"buasd",425134.507791217,553171.470600226,"Origin",NA,NA,"Abertillery"
"1053","Pembrey BUASD",243210.354602381,200991.333283929,2030,1,"buasd",243210.354602381,200991.333283929,"Origin",NA,NA,"Abertillery"
"1054","Pen-y-groes BUASD",256884.811024898,213128.572818409,5032,3,"buasd",256884.811024898,213128.572818409,"Origin",NA,NA,"Abertillery"
"1055","Penarth BUASD",317876.266111811,171565.033335483,26507,17,"buasd",318539.274344252,171427.688322323,"town",677.084609870913,NA,"Penarth"
"1056","Penistone BUASD",425012.080175669,402778.427230034,9509,6,"buasd",424664.37022739,403183.678001187,"town",533.976025353616,NA,"Penistone"
"1057","Penrhyn Bay BUASD",281810.969416948,381347.065359094,4883,3,"buasd",281810.969416948,381347.065359094,"Origin",NA,NA,"Abertillery"
"1058","Penryn BUASD",178103.873262565,34481.9761408888,7093,4,"buasd",178475.516461778,34445.3116088638,"town",373.447393122584,NA,"Penryn"
"1059","Penzance BUASD",146861.840397227,30650.7756073754,16336,10,"buasd",147560.300696943,30560.7817374221,"town",704.234113706876,NA,"Penzance"
"1060","Perranporth BUASD",175563.944750875,54066.1215162854,2628,2,"buasd",175563.944750875,54066.1215162854,"Origin",NA,NA,"Abertillery"
"1061","Pershore BUASD",394558.938341399,246043.985000573,7065,5,"buasd",394927.944964791,245710.721037166,"town",497.223045938704,NA,"Pershore"
"1062","Peterborough BUASD",518184.040117435,299340.435575541,160364,97,"buasd",519256.343189724,298792.650037256,"city",1204.11912815718,NA,"Peterborough"
"1063","Peterlee BUASD",442869.146354383,540790.836922235,28251,21,"buasd",443072.79883157,540977.202309752,"town",276.055047280396,NA,"Peterlee"
