"TTWA","Total pop (18 - 64, 2011)","RCI (2001)","RCI (2011)","Change in RCI","RAE (2001)","RAE (2011)","Change in RAE","Geo. (2001)","Geo. (2011)","Change in Geo.","Poverty indicator"
"Huntingdon",153173,0.091,0.037,-0.054,0.037,0.046,0.009,0.162,0.12,-0.042,"inc"
"Bridgend",148140,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inc"
"Folkestone and Dover",147515,0.184,0.184,0,0.082,0.074,-0.008,0.227,0.201,-0.027,"inc"
"Hereford",145859,0.091,0.037,-0.053,-0.06,-0.029,0.031,0.173,0.171,-0.002,"inc"
"Stafford",145175,0.162,0.121,-0.042,-0.082,-0.076,0.005,0.233,0.207,-0.027,"inc"
"Harrogate",143662,0.108,0.075,-0.033,0.051,0.01,-0.041,0.222,0.202,-0.02,"inc"
"King's Lynn",142647,0.154,0.12,-0.034,0.064,0.071,0.006,0.113,0.11,-0.002,"inc"
"Shrewsbury",142641,0.028,0.012,-0.015,-0.058,-0.075,-0.018,0.176,0.174,-0.002,"inc"
"Torquay and Paignton",142164,0.131,0.134,0.003,0.099,0.101,0.002,0.174,0.142,-0.032,"inc"
"Weston-super-Mare",141360,0.292,0.299,0.007,0.098,0.056,-0.043,0.24,0.262,0.021,"inc"
"Wrexham",134583,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inc"
"Salisbury",130755,0.115,0.101,-0.014,-0.074,-0.065,0.008,0.167,0.138,-0.029,"inc"
"Rhyl",129948,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inc"
"Lancaster and Morecambe",126894,0.281,0.25,-0.031,-0.021,-0.043,-0.022,0.252,0.22,-0.032,"inc"
"Isle of Wight",126784,0.094,0.114,0.02,0.008,0.005,-0.002,0.176,0.176,0,"inc"
"Bury St Edmunds",125806,0.179,0.134,-0.045,-0.027,-0.068,-0.041,0.193,0.134,-0.059,"inc"
"Bangor and Holyhead",121130,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inc"
"St Austell and Newquay",120239,0.112,0.124,0.013,0.007,0.027,0.02,0.158,0.158,0,"inc"
"Newbury",116846,0.113,0.105,-0.008,0.071,0.046,-0.025,0.15,0.117,-0.033,"inc"
"Redruth and Truro",116786,0.113,0.109,-0.004,0.023,0.02,-0.003,0.153,0.172,0.019,"inc"
"Lowestoft",115099,0.255,0.264,0.009,0.08,0.084,0.004,0.254,0.215,-0.039,"inc"
"Dorchester and Weymouth",112322,0.172,0.169,-0.003,-0.042,-0.04,0.003,0.165,0.151,-0.014,"inc"
